TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-35.1,1.20E+06,9.12E-04,3.21E-02,122.85,436.21,0.7071,2.0235,2.0387,1.0819,1.79E-04,1.22E-05,0.15317,0.013072,0.011973
-35,1.20E+06,9.12E-04,3.20E-02,123.05,436.23,0.70794,2.023,2.0393,1.083,1.78E-04,1.22E-05,0.15304,0.013084,0.01195
-34.9,1.21E+06,9.12E-04,3.19E-02,123.25,436.24,0.70878,2.0225,2.0399,1.0841,1.78E-04,1.22E-05,0.15292,0.013095,0.011927
-34.8,1.21E+06,9.13E-04,3.18E-02,123.46,436.26,0.70962,2.022,2.0405,1.0851,1.78E-04,1.22E-05,0.15279,0.013106,0.011903
-34.7,1.22E+06,9.13E-04,3.17E-02,123.66,436.27,0.71046,2.0215,2.0411,1.0862,1.77E-04,1.22E-05,0.15267,0.013118,0.01188
-34.6,1.22E+06,9.13E-04,3.16E-02,123.87,436.29,0.7113,2.021,2.0417,1.0873,1.77E-04,1.22E-05,0.15255,0.013129,0.011857
-34.5,1.22E+06,9.14E-04,3.15E-02,124.07,436.3,0.71214,2.0205,2.0423,1.0884,1.77E-04,1.22E-05,0.15242,0.013141,0.011834
-34.4,1.23E+06,9.14E-04,3.14E-02,124.28,436.32,0.71298,2.02,2.043,1.0895,1.77E-04,1.22E-05,0.1523,0.013152,0.011811
-34.3,1.23E+06,9.14E-04,3.13E-02,124.48,436.33,0.71382,2.0195,2.0436,1.0905,1.76E-04,1.22E-05,0.15217,0.013164,0.011788
-34.2,1.24E+06,9.15E-04,3.12E-02,124.69,436.35,0.71466,2.019,2.0442,1.0916,1.76E-04,1.22E-05,0.15205,0.013175,0.011765
-34.1,1.24E+06,9.15E-04,3.10E-02,124.89,436.36,0.7155,2.0185,2.0449,1.0927,1.76E-04,1.22E-05,0.15192,0.013187,0.011742
